weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_precip_mm,station_temp
26,2000-07-01,0.1928857,0.1322571,0.3408857,0.2472,25.41,23.590000000000032,22.03428571400002,34.150000000000034,19.950000000000045,43.19,92.4185714286,8.92857142857,3.0,26.53333333333333
27,2000-07-08,0.2168333,0.2761,0.2894571,0.2416571,60.61,23.48428571400001,22.208571429000017,33.450000000000045,17.950000000000045,46.0,93.5814285714,10.3142857143,55.6,27.233333333333334
28,2000-07-15,0.1767571,0.1731286,0.2041143,0.1280143,55.52,23.265714286000048,22.472857143,31.350000000000023,19.450000000000045,64.77,95.8485714286,7.38571428571,38.1,26.833333333333332
29,2000-07-22,0.2277286,0.1454286,0.2542,0.2003143,5.6,22.207142857000008,19.647142857000006,30.450000000000045,15.450000000000045,23.96,87.2342857143,9.11428571429,30.0,23.988888888900004
30,2000-07-29,0.3286429,0.3221286,0.2543714,0.3610429,62.76,23.282857143,20.80714285700003,33.85000000000002,18.350000000000023,31.8,88.1614285714,9.5,4.0,26.333333333333332
31,2000-08-05,0.2055286,0.1907571,0.2316714,0.2553143,16.24,24.04142857100004,18.57571428600005,33.05000000000001,15.350000000000023,1.0,74.7285714286,13.7714285714,11.5,24.78
32,2000-08-12,0.3124857,0.3299857,0.3805857,0.3872714,89.37,24.170000000000016,20.671428571000035,35.650000000000034,18.950000000000045,26.68,83.2757142857,11.4714285714,72.9,26.97222222223333
33,2000-08-19,0.3841333,0.39224,0.34178,0.38275,42.08,24.477142857000047,20.842857143000003,34.75,17.450000000000045,16.9,82.49,13.7,50.1,26.694444444433334
34,2000-08-26,0.4081571,0.3221571,0.4067143,0.3027143,49.22,25.088571429000012,19.754285714000048,36.950000000000045,18.150000000000034,5.59,74.74,13.7714285714,89.2,26.633333333333336
35,2000-09-02,0.3320429,0.3210571,0.3146143,0.3242571,53.65,26.06857142900003,20.32285714300002,37.35000000000002,19.75,16.07,74.1514285714,12.4571428571,78.0,27.0388888889
36,2000-09-09,0.2955857,0.2956833,0.3122143,0.2659286,23.12,27.652857143000006,17.485714286000018,39.650000000000034,18.350000000000023,2.5,57.7871428571,14.9,56.9,28.622222222233333
37,2000-09-16,0.2846571,0.3097571,0.3878833,0.3281571,34.62,26.708571429000017,20.49000000000001,37.55000000000001,19.150000000000034,4.1,71.66,13.8571428571,18.9,27.474999999999998
38,2000-09-23,0.3488143,0.2957167,0.4048429,0.2425714,97.55,24.28571428600003,19.55714285700003,37.05000000000001,15.150000000000034,3.2,77.4871428571,11.3142857143,104.2,28.011111111099996
39,2000-09-30,0.1756857,0.09948333,0.2257143,0.1827857,95.89,26.205714286000045,20.06714285700002,37.650000000000034,16.850000000000023,2.6,71.4628571429,14.9428571429,57.9,27.21666666666667
40,2000-10-07,0.33754,0.2769429,0.2775,0.25505,46.22,25.222857143,21.51428571400004,36.650000000000034,19.55000000000001,16.6,82.3714285714,11.9714285714,63.0,26.900000000000002
41,2000-10-14,0.2235333,0.1339143,0.3498,0.1009167,31.1,25.32428571400004,21.442857143000026,36.05000000000001,18.75,21.9,81.5228571429,13.4857142857,3.0,27.552380952366665
42,2000-10-21,0.2748,0.1870571,0.3739429,0.2794714,25.21,26.06142857100002,20.857142857000042,38.650000000000034,19.150000000000034,9.9,75.54,14.9285714286,45.2,28.258333333333336
43,2000-10-28,0.3673,0.30555,0.45538,0.3258,49.25,26.391428571000006,21.55857142900004,37.05000000000001,18.75,23.3,76.9414285714,13.4571428571,57.9,27.53333333333333
44,2000-11-04,0.2951,0.21152,0.3044,0.2796167,67.64,26.29000000000002,22.124285713999996,39.05000000000001,19.25,20.2,79.4285714286,13.3285714286,7.1,28.066666666666666
45,2000-11-11,0.2713667,0.1515667,0.34725,0.2318667,51.83,27.598571429000003,22.129999999999995,37.25,21.150000000000034,19.2,74.8028571429,12.8714285714,13.5,28.291666666666668
46,2000-11-18,0.09993333,0.03586,0.1954857,0.06418333,39.25,28.487142857000038,21.082857143000012,38.650000000000034,21.05000000000001,3.6,67.1857142857,13.3714285714,0.0,29.041666666666668
47,2000-11-25,0.1699833,0.2893,0.3009833,0.1709167,55.91,27.722857143,19.910000000000025,37.950000000000045,20.450000000000045,11.2,66.0428571429,13.1428571429,,28.566666666666666
48,2000-12-02,0.2519714,0.2538,0.3235143,0.3191,20.65,26.08000000000004,21.56714285700002,36.85000000000002,20.350000000000023,14.5,78.8857142857,12.0142857143,19.0,27.416666666666668
49,2000-12-09,0.1658333,0.1824143,0.2545667,0.18625,24.53,27.092857143000003,20.155714286000034,39.05000000000001,18.850000000000023,1.7,68.5571428571,15.4571428571,0.8,28.0
